username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
ACUEDUCTOSPR,2017-11-14 09:33,0,0,"Buenos días, tenemos brigada en la estación de bomba, identificando el problema. ML",,,,9.30443682842628E+017,https://twitter.com/ACUEDUCTOSPR/status/930443682842628096,
ACUEDUCTOSPR,2017-11-14 09:33,0,0,"Buenos días, tenemos brigada en la estación de bomba, identificando el problema. ML",,,,9.30443622851465E+017,https://twitter.com/ACUEDUCTOSPR/status/930443622851465216,
ACUEDUCTOSPR,2017-11-14 09:33,1,4,"Buenos días, tenemos brigada en la estación de bomba, identificando el problema. ML",,,,9.30443534963966E+017,https://twitter.com/ACUEDUCTOSPR/status/930443534963965952,
ACUEDUCTOSPR,2017-11-14 09:33,0,1,"Buenos días, tenemos brigada en la estación de bomba, identificando el problema. ML",,,,9.30443470854115E+017,https://twitter.com/ACUEDUCTOSPR/status/930443470854115329,
ACUEDUCTOSPR,2017-11-14 09:32,1,0,"Buenos días, tenemos brigada en la estación de bomba, identificando el problema. ML",,,,9.30443363496743E+017,https://twitter.com/ACUEDUCTOSPR/status/930443363496742912,
ACUEDUCTOSPR,2017-11-14 09:32,0,0,"Buenos días, tenemos brigada en la estación de bomba, identificando el problema. ML",,,,9.30443332643426E+017,https://twitter.com/ACUEDUCTOSPR/status/930443332643426304,
ACUEDUCTOSPR,2017-11-14 09:32,1,1,"Buenos días, tenemos brigada en la estación de bomba, identificando el problema. ML",,,,9.30443220584223E+017,https://twitter.com/ACUEDUCTOSPR/status/930443220584222720,
ACUEDUCTOSPR,2017-11-14 09:31,1,2,"Buenos días, tenemos brigada en la estación de bomba, identificando el problema. ML",,,,9.30443159020167E+017,https://twitter.com/ACUEDUCTOSPR/status/930443159020167168,
ACUEDUCTOSPR,2017-11-14 09:31,2,3,"Buenos días, tenemos brigada en la estación de bomba, identificando el problema. ML",,,,9.30443101818245E+017,https://twitter.com/ACUEDUCTOSPR/status/930443101818245120,
ACUEDUCTOSPR,2017-11-14 09:27,0,0,Compartimos reportaje de @primerahora reseñan proceso de facturación http://www. primerahora.com/noticias/gobie rno-politica/nota/aaacomenzaraafacturartrasanunciarun90deservicio-1255409/ …,,@primerahora,,9.304421375394E+017,https://twitter.com/ACUEDUCTOSPR/status/930442137539399680,
ACUEDUCTOSPR,2017-11-14 09:25,0,0,Compartimos reportaje de @radioislatv reseñan proceso de facturación http://www. radioisla1320.com/ahi-viene-la-f actura-aaa/ …,,@radioislatv,,9.3044166546629E+017,https://twitter.com/ACUEDUCTOSPR/status/930441665466290176,
ACUEDUCTOSPR,2017-11-14 09:25,0,0,Compartimos reportaje de @cbenespanol reseñan proceso de facturación AAA extiende periodo de pagos tras huracán María http:// cb.pr/aaa-extiende-p eriodo-de-pagos-tras-huracan-maria/ …,,@cbenespanol,,9.30441443658944E+017,https://twitter.com/ACUEDUCTOSPR/status/930441443658944514,
ACUEDUCTOSPR,2017-11-14 09:21,1,1,Compartimos reportaje de @ElNuevoDia donde reseñan proceso de facturación http:// bit.ly/2zVDiUk,,@ElNuevoDia,,9.30440573588333E+017,https://twitter.com/ACUEDUCTOSPR/status/930440573588332545,
ACUEDUCTOSPR,2017-11-14 09:20,0,0,Compartimos reportaje de @Metro_PR donde reseñan proceso de facturación https://www. metro.pr/pr/noticias/20 17/11/13/aaa-anuncia-reinicio-del-proceso-facturacion.html …,,@Metro_PR,,9.30440278934278E+017,https://twitter.com/ACUEDUCTOSPR/status/930440278934278144,
